time_sec,VehicleSpeed_mph,EngineSpeed_rpm,EngineTorque,AccelPedalPos,BrakePedalPos,TurnSignal,Latitude_deg,Longitude_deg,Altitude,Distance,SteerAngle,TransmissionGear,SPaT_signal,SPaT_dist
80,39.4570585,1562.314884,126.5,19.60785,0,0,40.58166034,-105.0877173,151242.6836,867.0139071,5.007890322,7,1,19.15205978
81,39.95578594,1565.329205,106.5,18.039222,0,0,40.58166298,-105.0879235,151146.2822,884.4284773,4.632994183,7,1,1.737489528
82,40.34294123,1578.731452,99,17.647065,0,0,40.58166407,-105.0881319,151068.7459,902.0335003,5.195860315,7,3,651.1167681
83,40.43903718,1564.012002,70,15.294123,0,0,40.58166475,-105.0883417,151148.1727,919.7478157,5.1875,7,3,633.4024527
84,40.37469938,1713.414057,65,15.294123,0,0,40.58166515,-105.0885521,151176.2764,937.5138449,4.758736273,7,3,615.6364236
85,40.45311746,1725.889328,56.72651038,13.725495,0,0,40.58166558,-105.0887627,151193.0142,955.2990925,3.615508144,7,3,597.851176
86,40.00975176,1571.75,-15.77173979,0,0,0,40.58166736,-105.0889743,151308.3581,973.1728713,4.741013676,7,3,579.9773972
87,39.73223919,1677.096286,34,8.235297,0,0,40.58166938,-105.0891846,151343.4306,990.9341378,3.375,7,3,562.2161307
88,39.51473127,1692.902678,46.29947968,12.941181,0,0,40.58167107,-105.0893914,151335.0089,1008.399229,4.634568949,7,3,544.7510398
89,39.16255221,1715.65874,69.76166519,14.901966,0,0,40.58167332,-105.0895977,151272.1454,1025.820381,3.625,7,3,527.3298871
90,39.46047532,1720.75,80.23255255,16.862751,0,0,40.58167551,-105.0898022,151215.4134,1043.09949,4.0625,7,3,510.0507786
91,39.48044067,1672.930925,81,14.117652,0,0,40.58167776,-105.0900073,151211.9021,1060.419139,4.25,7,3,492.7311295
92,39.39264034,1664.099998,80,17.647065,0,0,40.58168026,-105.0902131,151182.287,1077.796895,2.8125,7,3,475.3533739
93,39.4147371,1616.898536,94.35191856,18.823536,0,0,40.58168321,-105.0904184,151168.3969,1095.14146,3.5,7,3,458.0088088
94,39.48842642,1597.906091,105.9955818,16.862751,0,0,40.58168655,-105.0906243,151205.9286,1112.531682,1.239342544,7,3,440.6185866
95,39.49080408,1539.784275,88.24942114,16.862751,0,0,40.58169063,-105.0908301,151298.6489,1129.917006,0.448424244,7,3,423.2332628
96,39.4124757,1532.717212,87.00504345,16.078437,0,0,40.58169672,-105.0910359,151363.1385,1147.312515,4.573359357,7,3,405.8377531
97,39.2313892,1627.190361,55.5,13.725495,0,0,40.58170409,-105.0912425,151413.4606,1164.782836,8.19865988,7,3,388.3674324
